step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/grad_norm_post_clip_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/grad_norm_post_clip_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/grad_norm_post_clip_step
1,0.03012063354253769,0.028726888820528984,0.030344093218445774
2,0.02858299575746059,0.030210483819246292,0.03035233728587627
3,0.0305684357881546,0.03003057651221752,0.029849467799067497
4,0.030558262020349503,0.029683886095881466,0.030390776693820953
5,0.03139090538024902,0.03151356428861618,0.03247381001710892
6,0.03015904873609543,0.030344007536768913,0.029705705121159554
7,0.03096659854054451,0.03318694606423378,0.03133288025856018
8,0.037369243800640106,0.03992876410484314,0.034509360790252686
9,0.041270919144153595,0.04070499166846275,0.037228796631097794
10,0.03988653048872948,0.03837186470627785,0.03631705418229103
11,0.04176043719053269,0.03922838345170021,0.0361248292028904
12,0.04491797834634781,0.043333981186151505,0.04047450050711632
13,0.0460650809109211,0.041841596364974976,0.039586931467056274
14,0.045699592679739,0.04720313102006912,0.04224170371890068
15,0.05131109803915024,0.04865899682044983,0.04266344755887985
16,0.04984467849135399,0.05046426132321358,0.043447792530059814
17,0.04713202267885208,0.05085519328713417,0.04487083852291107
18,0.04730912670493126,0.052418217062950134,0.04865499958395958
19,0.044101618230342865,0.04696587473154068,0.043410774320364
20,0.03765431419014931,0.04106348752975464,0.042674724012613297
21,0.04253973439335823,0.04920804128050804,0.04865158721804619
22,0.04380904510617256,0.049366340041160583,0.04847351461648941
23,0.04463477432727814,0.04563926160335541,0.04544570297002792
24,0.04360664263367653,0.04820643737912178,0.045977916568517685
25,0.04034155607223511,0.04110195115208626,0.04522111639380455
26,0.043118640780448914,0.04277531057596207,0.04210377484560013
27,0.04120267555117607,0.044835347682237625,0.042815614491701126
28,0.04163969308137894,0.043458692729473114,0.04346143826842308
29,0.044249437749385834,0.0456705167889595,0.04668927192687988
30,0.04253332316875458,0.04431580752134323,0.04254202917218208
31,0.04031459987163544,0.044085610657930374,0.040801871567964554
32,0.03888804093003273,0.04037876054644585,0.041844505816698074
33,0.04439893364906311,0.041592009365558624,0.0437672846019268
34,0.04511567950248718,0.04496804624795914,0.043667182326316833
35,0.04144975543022156,0.04358416050672531,0.04462927207350731
36,0.04189794883131981,0.04342210292816162,0.04521406069397926
37,0.043533921241760254,0.046355586498975754,0.041704125702381134
38,0.045609261840581894,0.0424811877310276,0.04761365056037903
39,0.04168359562754631,0.044450536370277405,0.046562280505895615
40,0.04032880812883377,0.04300100728869438,0.04600943997502327
41,0.04279045760631561,0.043404169380664825,0.039932284504175186
42,0.04200481995940208,0.04243211820721626,0.04545281082391739
43,0.040836311876773834,0.04354387894272804,0.04399355128407478
44,0.041715916246175766,0.04190549626946449,0.045045070350170135
45,0.04173634573817253,0.03974404931068421,0.043742623180150986
46,0.039528049528598785,0.04347990080714226,0.04029061272740364
47,0.04269464313983917,0.04548465460538864,0.04219973459839821
48,0.040377769619226456,0.04214616119861603,0.04635794833302498
49,0.0364668034017086,0.040598731487989426,0.04106973856687546
50,0.039250824600458145,0.04274748265743256,0.04204118251800537
51,0.04019947722554207,0.046014487743377686,0.04406748712062836
52,0.04216878488659859,0.044902998954057693,0.04366571828722954
53,0.04266390949487686,0.04493965581059456,0.04272111505270004
54,0.039300329983234406,0.0407024659216404,0.04077959433197975
55,0.039765894412994385,0.04142199084162712,0.04383727908134461
56,0.03935065120458603,0.04078726842999458,0.04106559976935387
57,0.04316667094826698,0.045804571360349655,0.046187419444322586
58,0.04019220545887947,0.03830040246248245,0.03962844982743263
59,0.03965286538004875,0.04074607044458389,0.04306092858314514
60,0.0380060076713562,0.04068288207054138,0.037578120827674866
61,0.040351513773202896,0.04117131605744362,0.03925924003124237
62,0.0430949442088604,0.04238491505384445,0.04189575836062431
63,0.04196080192923546,0.04122499376535416,0.040981225669384
64,0.03703993186354637,0.04079510644078255,0.04156484082341194
65,0.042389508336782455,0.040302764624357224,0.0404355525970459
66,0.03827977180480957,0.042725782841444016,0.03989766910672188
67,0.03992202877998352,0.0389663465321064,0.04427844658493996
